situation_id,situation_category,creator_thought,emotional_state,context_channel,desired_outcome,advice_strategy,core_advice_line,expanded_advice,follow_up_prompt_hint,extra_notes
CPAM_026,sharing_work_nerves,Showing this demo to a friend feels scary,tense,music_production,prepare_to_share,audience_reframe,Choose one listener who already roots for you,Imagine sending the track to a specific supportive person not to the entire world. You are offering them a glimpse not asking for a final verdict.,Ask: help me use audience_reframe for a music_production moment of sharing_work_nerves.,
CPAM_027,overwhelmed_by_options,Too many plugins too many presets,overstimulated,music_production,generate_clear_direction,constraint_play,Limit your toolset for one session only,Pick one synth one effect and one drum kit and forbid everything else until this session ends. Simpler choices create clearer ideas.,Ask: help me use constraint_play for a music_production moment of overwhelmed_by_options.,
CPAM_028,low_energy,My ears feel tired and I cannot judge the mix,drained,music_production,regain_motivation,body_and_breath_break,Rest your ears before you judge,Step away for a few minutes breathe slowly and let your body reset. Come back and only make two or three specific mix moves instead of endless tiny tweaks.,Ask: help me use body_and_breath_break for a music_production moment of low_energy.,
CPAM_029,time_pressure,I only have thirty minutes before work,restless,music_songwriting,start_session,time_boxing,Turn this into a tiny timed writing sprint,Set a twenty minute timer and write nonstop without editing. When the timer ends you can walk away proud that you showed up at all.,Ask: help me use time_boxing for a music_songwriting moment of time_pressure.,
CPAM_030,creative_play,I want to write something weird with no goal,playful,music_songwriting,explore_new_direction,safe_to_fail_experiment,Treat this as a song that never has to be heard,Tell yourself clearly that this piece is an experiment that no one is required to hear. Freedom from outcome makes bolder choices feel safe.,Ask: help me use safe_to_fail_experiment for a music_songwriting moment of creative_play.,
CPAM_031,stuck_on_idea,Every melody I try sounds boring,discouraged,music_songwriting,unstick_concept,reference_inspiration,Steal a contour not a melody,Hum along with a favorite song and notice how its melody rises and falls. Then keep that rise and fall but change notes and rhythm until it feels like you.,Ask: help me use reference_inspiration for a music_songwriting moment of stuck_on_idea.,
CPAM_032,imposter_feelings,I feel like a fake compared to real musicians,anxious,music_production,recover_confidence,celebrate_micro_wins,Track your tiny music wins in writing,Make a short list of skills ideas or tracks you have already created. Proof of progress on paper is a quiet antidote to the fake feeling.,Ask: help me use celebrate_micro_wins for a music_production moment of imposter_feelings.,
CPAM_033,scope_creep,This simple beat is turning into a huge project,overwhelmed,music_production,organize_pipeline,design_small_next_step,Decide what belongs to this track and what moves to the next one,Choose one clear identity for this beat and store extra ideas in a new project. Protect this track from needing to be everything.,Ask: help me use design_small_next_step for a music_production moment of scope_creep.,
CPAM_034,starting_new_project,First time opening a new writing document,calm_but_uncertain,creative_writing,start_session,tiny_commitment,Write one messy paragraph as a warmup only,Promise yourself that the first paragraph is pure warmup and will not stay. This lowers pressure and lets your voice loosen.,Ask: help me use tiny_commitment for a creative_writing moment of starting_new_project.,
CPAM_035,stuck_on_idea,My story idea feels thin and small,restless,creative_writing,unstick_concept,question_storm,Ask the idea twenty questions before judging it,Write a rapid list of questions about the situation the characters and the stakes. Often one answer reveals the real heart of the story.,Ask: help me use question_storm for a creative_writing moment of stuck_on_idea.,
CPAM_036,mid_project_dip,The middle of this story drags,frustrated,creative_writing,explore_new_direction,reverse_brief,Flip the story goal and see what breaks,Describe a version where the character wants the opposite of what they want now. Notice which new obstacles and scenes suddenly feel alive.,Ask: help me use reverse_brief for a creative_writing moment of mid_project_dip.,
CPAM_037,finishing_phase_anxiety,I keep editing the first chapter instead of finishing,tense,creative_writing,finish_current_piece,separate_draft_and_edit,Give the early chapters a temporary do not touch sign,Decide that for one week you will only move forward not backward. Jot down quick fix notes in a separate list and keep drafting.,Ask: help me use separate_draft_and_edit for a creative_writing moment of finishing_phase_anxiety.,
CPAM_038,fear_of_judgment,Sharing this chapter with beta readers scares me,anxious,creative_writing,prepare_to_share,audience_reframe,Write a short note to your future kind reader,Preface the draft with a note explaining what kind of feedback you want. Inviting collaboration shifts the feeling from trial to partnership.,Ask: help me use audience_reframe for a creative_writing moment of fear_of_judgment.,
CPAM_039,low_energy,My brain feels foggy when I look at the page,drained,creative_writing,regain_motivation,creative_walk,Walk and narrate ideas out loud to yourself,Take a short walk and speak possible lines or scenes quietly. Movement often shakes loose language that staring at the cursor cannot.,Ask: help me use creative_walk for a creative_writing moment of low_energy.,
CPAM_040,time_pressure,I need a draft by tonight,impatient,creative_writing,start_session,time_boxing,Divide the evening into two short focused sprints,Set two timers with a clear break in between. First sprint for raw drafting second sprint for light shaping only.,Ask: help me use time_boxing for a creative_writing moment of time_pressure.,
CPAM_041,overwhelmed_by_options,I have too many possible angles for this article,overwhelmed,blogging,generate_clear_direction,constraint_play,Choose one reader one promise one angle,Define a single target reader and one promise this article will make to them. Discard any paragraph that does not serve that promise.,Ask: help me use constraint_play for a blogging moment of overwhelmed_by_options.,
CPAM_042,content_calendar_stress,I feel behind on all my posts,anxious,social_media_planning,organize_pipeline,celebrate_micro_wins,Count what is already done before planning more,Write down every piece you have posted this month. Use that list to build a simple pattern not a perfect calendar for the next few weeks.,Ask: help me use celebrate_micro_wins for a social_media_planning moment of content_calendar_stress.,
CPAM_043,starting_new_project,First time planning a content series,quietly_excited,social_media_planning,start_session,design_small_next_step,Design the smallest possible three post arc,Instead of a full year plan sketch only three connected posts that share one theme. You can expand once those three are out.,Ask: help me use design_small_next_step for a social_media_planning moment of starting_new_project.,
CPAM_044,fear_of_judgment,I am scared my followers will dislike a new direction,tense,social_media_planning,reduce_pressure,audience_reframe,Imagine the people who are hungry for this shift,Picture a handful of followers who are bored of your old format and ready for your evolution. Aim the new experiment at them.,Ask: help me use audience_reframe for a social_media_planning moment of fear_of_judgment.,
CPAM_045,creative_play,I want to try a silly post that may flop,playful,social_media_planning,explore_new_direction,safe_to_fail_experiment,Label this openly as an experiment,Tell your audience that this is you playing. When you frame it as a test you lower pressure on both sides and invite curiosity.,Ask: help me use safe_to_fail_experiment for a social_media_planning moment of creative_play.,
CPAM_046,collaboration_tension,My collaborator and I disagree about the brand voice,frustrated,marketing_campaign,reconnect_with_why,emotion_first_reflection,Name what each of you wants the audience to feel,Ask each person to describe in simple words the feeling they hope the audience walks away with. Use the overlap as your shared north star.,Ask: help me use emotion_first_reflection for a marketing_campaign moment of collaboration_tension.,
CPAM_047,scope_creep,This campaign keeps growing new components,overwhelmed,marketing_campaign,organize_pipeline,design_small_next_step,Define a minimum viable campaign for this round,Pick the smallest set of assets that still clearly deliver the message. Park the extra ideas in a future round list.,Ask: help me use design_small_next_step for a marketing_campaign moment of scope_creep.,
CPAM_048,mid_project_dip,The campaign mood feels generic and safe,discouraged,marketing_campaign,explore_new_direction,reverse_brief,Write the wrongest version to jolt new ideas,Describe a parody campaign that completely misses the point. Notice which exaggerated elements secretly excite you and keep one.,Ask: help me use reverse_brief for a marketing_campaign moment of mid_project_dip.,
CPAM_049,imposter_feelings,I feel underqualified to lead this campaign,anxious,marketing_campaign,recover_confidence,celebrate_micro_wins,Inventory the experience that got you here,Write down past projects lessons and small wins that prepared you. Seeing evidence of your path counters the story that you are not ready.,Ask: help me use celebrate_micro_wins for a marketing_campaign moment of imposter_feelings.,
CPAM_050,low_energy,My focus vanishes when I open the brief,drained,marketing_campaign,regain_motivation,body_and_breath_break,Reset your body before wrestling with the brief,Stand stretch breathe slowly and drink water. Approach the brief again with a promise to only clarify the next small decision.,Ask: help me use body_and_breath_break for a marketing_campaign moment of low_energy.,
CPAM_051,starting_new_project,New blank canvas feels intimidating,anxious,visual_art,start_session,tiny_commitment,Fill one corner of the canvas not the whole thing,Choose a small area and let yourself make marks without planning the rest. Once that patch exists the canvas is no longer empty or scary.,Ask: help me use tiny_commitment for a visual_art moment of starting_new_project.,
CPAM_052,stuck_on_idea,Every sketch looks stiff and lifeless,frustrated,visual_art,unstick_concept,sandbox_session,Do a page of throwaway gesture drawings,Set a timer and draw fast loose versions that are not meant to be kept. Speed and play often bring movement back into your lines.,Ask: help me use sandbox_session for a visual_art moment of stuck_on_idea.,
CPAM_053,mid_project_dip,The illustration lost its original vibe,discouraged,visual_art,reconnect_with_why,reference_inspiration,Revisit the image or mood that first inspired you,Look again at your reference moodboard or memory. Pull one strong element color or shape back into the piece to reconnect with that feeling.,Ask: help me use reference_inspiration for a visual_art moment of mid_project_dip.,
CPAM_054,finishing_phase_anxiety,I keep zooming in and overworking tiny details,tense,visual_art,finish_current_piece,versioning_mindset,Save this as a finished version and test changes on a copy,Export or duplicate the file and declare one version complete. Experiment on the copy so you can stop before polish becomes damage.,Ask: help me use versioning_mindset for a visual_art moment of finishing_phase_anxiety.,
CPAM_055,fear_of_judgment,I am nervous about posting this illustration online,anxious,visual_art,prepare_to_share,audience_reframe,Imagine the one person who needs to see this,Think of someone who would feel seen or delighted by the piece. Post for them instead of for a faceless crowd.,Ask: help me use audience_reframe for a visual_art moment of fear_of_judgment.,
CPAM_056,low_energy,My hand feels heavy and unmotivated,drained,visual_art,regain_motivation,body_and_breath_break,Do a physical reset then a tiny doodle,Shake out your hands roll your shoulders and breathe deeply. After that draw a tiny simple shape or character just to re enter motion.,Ask: help me use body_and_breath_break for a visual_art moment of low_energy.,
CPAM_057,overwhelmed_by_options,Too many color palettes to choose from,overstimulated,visual_art,generate_clear_direction,constraint_play,Pick one palette source and commit for this piece,Decide to use colors only from one reference photo one brand palette or one limited triad. Limitations create harmony.,Ask: help me use constraint_play for a visual_art moment of overwhelmed_by_options.,
CPAM_058,creative_play,I want to explore a new style without breaking my portfolio,playful,visual_art,explore_new_direction,safe_to_fail_experiment,Create a hidden folder just for wild experiments,Give yourself a private place to store style tests that are not part of your public body of work. Freedom there will eventually feed the main work.,Ask: help me use safe_to_fail_experiment for a visual_art moment of creative_play.,
CPAM_059,starting_new_project,New game idea feels too big to start,overwhelmed,game_design,start_session,design_small_next_step,Prototype one tiny mechanic not a full game,Choose the single interaction that excites you most and build a rough test only for that. You can layer story and art later.,Ask: help me use design_small_next_step for a game_design moment of starting_new_project.,
CPAM_060,stuck_on_idea,The core loop is not fun yet,frustrated,game_design,unstick_concept,question_storm,Interrogate why a player would repeat this action,Write questions about reward risk surprise and progression. Use answers to adjust timing feedback and challenge until one variation feels alive.,Ask: help me use question_storm for a game_design moment of stuck_on_idea.,
CPAM_061,mid_project_dip,The prototype works but I feel bored by it,discouraged,game_design,explore_new_direction,reverse_brief,Imagine a version that deliberately breaks the genre rules,Describe a wrong version that ignores expectations. Borrow one strange twist from that wrong version and inject it into your current loop.,Ask: help me use reverse_brief for a game_design moment of mid_project_dip.,
CPAM_062,scope_creep,The game design document is ballooning,overwhelmed,game_design,organize_pipeline,design_small_next_step,Define a tiny vertical slice as the only goal,Decide on one level or scenario that shows the core experience. Delay extra features until that slice feels complete.,Ask: help me use design_small_next_step for a game_design moment of scope_creep.,
CPAM_063,finishing_phase_anxiety,I keep polishing menus instead of shipping,tense,game_design,finish_current_piece,versioning_mindset,Ship a stable build then schedule a polish pass,Freeze one build as release candidate and list remaining polish items separately. Ship first then improve in calm updates.,Ask: help me use versioning_mindset for a game_design moment of finishing_phase_anxiety.,
CPAM_064,imposter_feelings,I feel like a hobbyist not a real designer,anxious,game_design,recover_confidence,celebrate_micro_wins,Count real players and real moments of fun,Write down every time someone played your prototype or commented on it. Those experiences are proof of real design not imaginary status.,Ask: help me use celebrate_micro_wins for a game_design moment of imposter_feelings.,
CPAM_065,starting_new_project,A new coding project scares me at setup,tense,coding_project,start_session,tiny_commitment,Set up the bare minimum environment only,Limit this session to creating the repo installing one dependency and running hello world. Small wins make the codebase feel friendlier.,Ask: help me use tiny_commitment for a coding_project moment of starting_new_project.,
CPAM_066,stuck_on_idea,I do not know how to architect this feature,restless,coding_project,unstick_concept,question_storm,Ask the feature what problems it must actually solve,Write down questions about inputs outputs constraints and failure modes. Often clarity on these answers suggests a simple first structure.,Ask: help me use question_storm for a coding_project moment of stuck_on_idea.,
CPAM_067,mid_project_dip,The codebase feels messy and heavy,drained,coding_project,reconnect_with_why,emotion_first_reflection,Name what frustrates you before refactoring,Describe in simple language what feels painful when you work in this code. Use that list to choose one small refactor instead of a full rewrite.,Ask: help me use emotion_first_reflection for a coding_project moment of mid_project_dip.,
CPAM_068,scope_creep,Every feature request gets added instantly,overwhelmed,coding_project,organize_pipeline,design_small_next_step,Create a later list and protect the current milestone,Move non essential ideas to a clearly labeled later list. Commit to finishing the current milestone before pulling new items in.,Ask: help me use design_small_next_step for a coding_project moment of scope_creep.,
CPAM_069,finishing_phase_anxiety,Tests are almost done but I keep delaying release,anxious,coding_project,finish_current_piece,time_boxing,Schedule a short final review window and then release,Decide on a limited period for last checks. When the timer ends you release the build and log any remaining worries as future tasks.,Ask: help me use time_boxing for a coding_project moment of finishing_phase_anxiety.,
CPAM_070,fear_of_judgment,I am nervous to show this tool to other developers,tense,coding_project,prepare_to_share,audience_reframe,Share it first with a friendly technical peer,Pick someone who understands learning curves and invite them to try it. Frame it as a work in progress not a finished product.,Ask: help me use audience_reframe for a coding_project moment of fear_of_judgment.,
CPAM_071,low_energy,Staring at the code makes my eyes blur,drained,coding_project,regain_motivation,body_and_breath_break,Step away and plan one small commit in your head,Take a short break to move and breathe. Decide on exactly one small change before you sit down again.,Ask: help me use body_and_breath_break for a coding_project moment of low_energy.,
CPAM_072,creative_play,I want to tinker with code without breaking production,playful,coding_project,explore_new_direction,safe_to_fail_experiment,Open a separate playground branch just for experiments,Create a branch where you are free to push messy or wild ideas. Knowing production is safe encourages real exploration.,Ask: help me use safe_to_fail_experiment for a coding_project moment of creative_play.,
CPAM_073,starting_new_project,Launching my first podcast feels huge,quietly_excited,podcasting,start_session,design_small_next_step,Design a single pilot episode not a full season,Outline one episode with a simple structure instead of planning a whole series. You can learn and adjust once that pilot is recorded.,Ask: help me use design_small_next_step for a podcasting moment of starting_new_project.,
CPAM_074,stuck_on_idea,I do not know what topic to choose next,restless,podcasting,unstick_concept,question_storm,Brainstorm questions your audience keeps asking,Write a list of real questions you hear often. Choose the one that feels most alive and build an episode around answering it.,Ask: help me use question_storm for a podcasting moment of stuck_on_idea.,
CPAM_075,mid_project_dip,The episode outline feels dull,discouraged,podcasting,explore_new_direction,reference_inspiration,Study a favorite show and borrow its segment rhythm,Listen to an episode you love and notice how segments flow. Adapt that pacing with your own topics.,Ask: help me use reference_inspiration for a podcasting moment of mid_project_dip.,
CPAM_076,finishing_phase_anxiety,I keep re recording the same intro,tense,podcasting,finish_current_piece,versioning_mindset,Choose one good enough take and move forward,Pick the clearest warmest take not the perfect one. Mark it as final and put your energy into the rest of the episode.,Ask: help me use versioning_mindset for a podcasting moment of finishing_phase_anxiety.,
CPAM_077,fear_of_judgment,My voice sounds strange to me on recordings,anxious,podcasting,reduce_pressure,emotion_first_reflection,Notice what you actually like about your voice too,Write a short note about qualities you appreciate like warmth clarity or humor. Balancing the critique softens the discomfort.,Ask: help me use emotion_first_reflection for a podcasting moment of fear_of_judgment.,
CPAM_078,low_energy,I feel drained when editing audio,drained,podcasting,regain_motivation,time_boxing,Edit in small focused passes not one marathon,Give yourself a short timer to tackle one type of edit such as cutting silences. Stop when the timer ends and rest.,Ask: help me use time_boxing for a podcasting moment of low_energy.,
CPAM_079,creative_play,I want to try a new format without confusing listeners,playful,podcasting,explore_new_direction,safe_to_fail_experiment,Introduce the new format as a playful special,Announce clearly that this is a special experimental episode. Listeners will be more open when they know you are trying something.,Ask: help me use safe_to_fail_experiment for a podcasting moment of creative_play.,
CPAM_080,collaboration_tension,My co host and I keep talking over each other,frustrated,podcasting,reconnect_with_why,emotion_first_reflection,Agree on shared values for how you want the show to feel,Discuss how you both want conversations to feel for listeners and for yourselves. Use those values to design light structure or cues.,Ask: help me use emotion_first_reflection for a podcasting moment of collaboration_tension.,
CPAM_081,starting_new_project,This new photo series feels vague,calm_but_uncertain,photography,start_session,design_small_next_step,Define one clear question for this shoot,Write a short question you want this series to explore and let each shot try to answer it instead of chasing general beauty,Ask: help me use design_small_next_step for a photography moment of starting_new_project.,
CPAM_082,stuck_on_idea,Every composition looks the same,frustrated,photography,unstick_concept,sandbox_session,Change one big variable on purpose,Choose one element to flip such as angle lens or distance and shoot many variations only with that change until something feels fresh,Ask: help me use sandbox_session for a photography moment of stuck_on_idea.,
CPAM_083,mid_project_dip,The photos technically work but feel empty,discouraged,photography,reconnect_with_why,emotion_first_reflection,Ask what emotion you want the viewer to feel,Write down one word for the emotion then reshoot or re edit one frame to amplify that specific feeling,Ask: help me use emotion_first_reflection for a photography moment of mid_project_dip.,
CPAM_084,finishing_phase_anxiety,I keep re editing the same image,tense,photography,finish_current_piece,versioning_mindset,Save one final version and archive the rest,Export a version you could live with and label it final then move older edits to an archive so they stop calling you back,Ask: help me use versioning_mindset for a photography moment of finishing_phase_anxiety.,
CPAM_085,fear_of_judgment,I worry my photos look amateur,anxious,photography,reduce_pressure,celebrate_micro_wins,Spot the progress not only the flaws,Compare your latest work with older shots and list three areas where you have clearly grown to balance your internal critic,Ask: help me use celebrate_micro_wins for a photography moment of fear_of_judgment.,
CPAM_086,sharing_work_nerves,Posting this series feels like too big a step,tense,photography,prepare_to_share,tiny_commitment,Share one image as a soft test,Choose one photo and share it with a small circle or low stakes platform first and treat feedback as data not judgment,Ask: help me use tiny_commitment for a photography moment of sharing_work_nerves.,
CPAM_087,low_energy,My eyes feel tired while culling shots,drained,photography,regain_motivation,body_and_breath_break,Rest your eyes and decide one tiny decision,Look away from the screen for a few minutes then return only to pick keep or discard for a small batch of images,Ask: help me use body_and_breath_break for a photography moment of low_energy.,
CPAM_088,overwhelmed_by_options,I have too many shots to choose from,overwhelmed,photography,generate_clear_direction,constraint_play,Define one selection rule and follow it,Choose a simple rule such as focus on faces or leading lines and keep only images that satisfy it for this round,Ask: help me use constraint_play for a photography moment of overwhelmed_by_options.,
CPAM_089,creative_play,I want to explore abstract photography,playful,photography,explore_new_direction,safe_to_fail_experiment,Give yourself a session where nothing must be usable,Schedule a shoot that exists only to try blur reflections and strange angles and allow every frame to be throwaway if needed,Ask: help me use safe_to_fail_experiment for a photography moment of creative_play.,
CPAM_090,collaboration_tension,The model and I are not clicking,restless,photography,reconnect_with_why,emotion_first_reflection,Align on the mood before the next shot,Pause to chat and name together how the images should feel then take a few test frames that aim only at that shared mood,Ask: help me use emotion_first_reflection for a photography moment of collaboration_tension.,
