edge_id,from_atom_id,to_atom_id,relation_type,relation_subtype,weight,confidence,source_rule_ids,notes
edge:vm_cpa:CPAM_042:A_guided_by_B,vm_cpa:CPAM_042:A,vm_cpa:CPAM_042:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_043:A_guided_by_B,vm_cpa:CPAM_043:A,vm_cpa:CPAM_043:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_044:A_guided_by_B,vm_cpa:CPAM_044:A,vm_cpa:CPAM_044:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_045:A_guided_by_B,vm_cpa:CPAM_045:A,vm_cpa:CPAM_045:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_046:A_guided_by_B,vm_cpa:CPAM_046:A,vm_cpa:CPAM_046:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_047:A_guided_by_B,vm_cpa:CPAM_047:A,vm_cpa:CPAM_047:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_048:A_guided_by_B,vm_cpa:CPAM_048:A,vm_cpa:CPAM_048:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_049:A_guided_by_B,vm_cpa:CPAM_049:A,vm_cpa:CPAM_049:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_050:A_guided_by_B,vm_cpa:CPAM_050:A,vm_cpa:CPAM_050:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_051:A_guided_by_B,vm_cpa:CPAM_051:A,vm_cpa:CPAM_051:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_052:A_guided_by_B,vm_cpa:CPAM_052:A,vm_cpa:CPAM_052:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_053:A_guided_by_B,vm_cpa:CPAM_053:A,vm_cpa:CPAM_053:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_054:A_guided_by_B,vm_cpa:CPAM_054:A,vm_cpa:CPAM_054:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_055:A_guided_by_B,vm_cpa:CPAM_055:A,vm_cpa:CPAM_055:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_056:A_guided_by_B,vm_cpa:CPAM_056:A,vm_cpa:CPAM_056:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_057:A_guided_by_B,vm_cpa:CPAM_057:A,vm_cpa:CPAM_057:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_058:A_guided_by_B,vm_cpa:CPAM_058:A,vm_cpa:CPAM_058:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_059:A_guided_by_B,vm_cpa:CPAM_059:A,vm_cpa:CPAM_059:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_060:A_guided_by_B,vm_cpa:CPAM_060:A,vm_cpa:CPAM_060:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_061:A_guided_by_B,vm_cpa:CPAM_061:A,vm_cpa:CPAM_061:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_062:A_guided_by_B,vm_cpa:CPAM_062:A,vm_cpa:CPAM_062:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_063:A_guided_by_B,vm_cpa:CPAM_063:A,vm_cpa:CPAM_063:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_064:A_guided_by_B,vm_cpa:CPAM_064:A,vm_cpa:CPAM_064:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_065:A_guided_by_B,vm_cpa:CPAM_065:A,vm_cpa:CPAM_065:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_066:A_guided_by_B,vm_cpa:CPAM_066:A,vm_cpa:CPAM_066:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_067:A_guided_by_B,vm_cpa:CPAM_067:A,vm_cpa:CPAM_067:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_068:A_guided_by_B,vm_cpa:CPAM_068:A,vm_cpa:CPAM_068:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_069:A_guided_by_B,vm_cpa:CPAM_069:A,vm_cpa:CPAM_069:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_070:A_guided_by_B,vm_cpa:CPAM_070:A,vm_cpa:CPAM_070:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_071:A_guided_by_B,vm_cpa:CPAM_071:A,vm_cpa:CPAM_071:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_072:A_guided_by_B,vm_cpa:CPAM_072:A,vm_cpa:CPAM_072:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_073:A_guided_by_B,vm_cpa:CPAM_073:A,vm_cpa:CPAM_073:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_074:A_guided_by_B,vm_cpa:CPAM_074:A,vm_cpa:CPAM_074:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_075:A_guided_by_B,vm_cpa:CPAM_075:A,vm_cpa:CPAM_075:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_076:A_guided_by_B,vm_cpa:CPAM_076:A,vm_cpa:CPAM_076:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_077:A_guided_by_B,vm_cpa:CPAM_077:A,vm_cpa:CPAM_077:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_078:A_guided_by_B,vm_cpa:CPAM_078:A,vm_cpa:CPAM_078:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_079:A_guided_by_B,vm_cpa:CPAM_079:A,vm_cpa:CPAM_079:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_080:A_guided_by_B,vm_cpa:CPAM_080:A,vm_cpa:CPAM_080:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_081:A_guided_by_B,vm_cpa:CPAM_081:A,vm_cpa:CPAM_081:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_082:A_guided_by_B,vm_cpa:CPAM_082:A,vm_cpa:CPAM_082:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_083:A_guided_by_B,vm_cpa:CPAM_083:A,vm_cpa:CPAM_083:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_084:A_guided_by_B,vm_cpa:CPAM_084:A,vm_cpa:CPAM_084:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_085:A_guided_by_B,vm_cpa:CPAM_085:A,vm_cpa:CPAM_085:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_086:A_guided_by_B,vm_cpa:CPAM_086:A,vm_cpa:CPAM_086:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_087:A_guided_by_B,vm_cpa:CPAM_087:A,vm_cpa:CPAM_087:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_088:A_guided_by_B,vm_cpa:CPAM_088:A,vm_cpa:CPAM_088:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_089:A_guided_by_B,vm_cpa:CPAM_089:A,vm_cpa:CPAM_089:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_090:A_guided_by_B,vm_cpa:CPAM_090:A,vm_cpa:CPAM_090:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_091:A_guided_by_B,vm_cpa:CPAM_091:A,vm_cpa:CPAM_091:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_092:A_guided_by_B,vm_cpa:CPAM_092:A,vm_cpa:CPAM_092:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_093:A_guided_by_B,vm_cpa:CPAM_093:A,vm_cpa:CPAM_093:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_094:A_guided_by_B,vm_cpa:CPAM_094:A,vm_cpa:CPAM_094:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_095:A_guided_by_B,vm_cpa:CPAM_095:A,vm_cpa:CPAM_095:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_096:A_guided_by_B,vm_cpa:CPAM_096:A,vm_cpa:CPAM_096:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_097:A_guided_by_B,vm_cpa:CPAM_097:A,vm_cpa:CPAM_097:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_098:A_guided_by_B,vm_cpa:CPAM_098:A,vm_cpa:CPAM_098:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_099:A_guided_by_B,vm_cpa:CPAM_099:A,vm_cpa:CPAM_099:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_100:A_guided_by_B,vm_cpa:CPAM_100:A,vm_cpa:CPAM_100:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_101:A_guided_by_B,vm_cpa:CPAM_101:A,vm_cpa:CPAM_101:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_102:A_guided_by_B,vm_cpa:CPAM_102:A,vm_cpa:CPAM_102:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_103:A_guided_by_B,vm_cpa:CPAM_103:A,vm_cpa:CPAM_103:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_104:A_guided_by_B,vm_cpa:CPAM_104:A,vm_cpa:CPAM_104:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_105:A_guided_by_B,vm_cpa:CPAM_105:A,vm_cpa:CPAM_105:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_106:A_guided_by_B,vm_cpa:CPAM_106:A,vm_cpa:CPAM_106:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_107:A_guided_by_B,vm_cpa:CPAM_107:A,vm_cpa:CPAM_107:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_108:A_guided_by_B,vm_cpa:CPAM_108:A,vm_cpa:CPAM_108:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_109:A_guided_by_B,vm_cpa:CPAM_109:A,vm_cpa:CPAM_109:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_110:A_guided_by_B,vm_cpa:CPAM_110:A,vm_cpa:CPAM_110:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_111:A_guided_by_B,vm_cpa:CPAM_111:A,vm_cpa:CPAM_111:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_112:A_guided_by_B,vm_cpa:CPAM_112:A,vm_cpa:CPAM_112:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_113:A_guided_by_B,vm_cpa:CPAM_113:A,vm_cpa:CPAM_113:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_114:A_guided_by_B,vm_cpa:CPAM_114:A,vm_cpa:CPAM_114:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_115:A_guided_by_B,vm_cpa:CPAM_115:A,vm_cpa:CPAM_115:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_116:A_guided_by_B,vm_cpa:CPAM_116:A,vm_cpa:CPAM_116:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_117:A_guided_by_B,vm_cpa:CPAM_117:A,vm_cpa:CPAM_117:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_118:A_guided_by_B,vm_cpa:CPAM_118:A,vm_cpa:CPAM_118:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_119:A_guided_by_B,vm_cpa:CPAM_119:A,vm_cpa:CPAM_119:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_120:A_guided_by_B,vm_cpa:CPAM_120:A,vm_cpa:CPAM_120:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_121:A_guided_by_B,vm_cpa:CPAM_121:A,vm_cpa:CPAM_121:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_122:A_guided_by_B,vm_cpa:CPAM_122:A,vm_cpa:CPAM_122:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_123:A_guided_by_B,vm_cpa:CPAM_123:A,vm_cpa:CPAM_123:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_124:A_guided_by_B,vm_cpa:CPAM_124:A,vm_cpa:CPAM_124:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_125:A_guided_by_B,vm_cpa:CPAM_125:A,vm_cpa:CPAM_125:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_126:A_guided_by_B,vm_cpa:CPAM_126:A,vm_cpa:CPAM_126:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_127:A_guided_by_B,vm_cpa:CPAM_127:A,vm_cpa:CPAM_127:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_128:A_guided_by_B,vm_cpa:CPAM_128:A,vm_cpa:CPAM_128:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_129:A_guided_by_B,vm_cpa:CPAM_129:A,vm_cpa:CPAM_129:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_130:A_guided_by_B,vm_cpa:CPAM_130:A,vm_cpa:CPAM_130:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_131:A_guided_by_B,vm_cpa:CPAM_131:A,vm_cpa:CPAM_131:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_132:A_guided_by_B,vm_cpa:CPAM_132:A,vm_cpa:CPAM_132:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_133:A_guided_by_B,vm_cpa:CPAM_133:A,vm_cpa:CPAM_133:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_134:A_guided_by_B,vm_cpa:CPAM_134:A,vm_cpa:CPAM_134:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
edge:vm_cpa:CPAM_135:A_guided_by_B,vm_cpa:CPAM_135:A,vm_cpa:CPAM_135:B,guided_by,,1.0,0.99,"[""UMGG_V1_EDGE_CPA_INTERNAL""]",
