gtr_id,source_genre,target_genre,core_elements_keep,elements_to_change,tempo_shift_hint,groove_shift_hint,instrumentation_focus,vocal_style_shift,lyrical_tone_shift,notes
GTR-0014,cumbia,reggae,retain_main_refrain_and_bounce_feel,reshape_percussion_density_and_backbeat_placement,slightly_slower,reduce_clave_emphasis_and_add_skank,offbeat_keys_or_guitar_with_light_drums,from_high_energy_delivery_to_relaxed_pulse,from_constant_excitement_tosteady_warmth,keep_repetitive_structure_for_familiarity
GTR-0015,alt_rock,southern_rock_blues,preserve_main_riff_and_chorus_focus,adjust_guitar_tone_and_drum_swing,bpm_similar,add_blues_swing_to_backbeat,overdriven_guitars_with_blues_phrasings,from_indie_bite_to_bluesy_drawl,from_detached_cool_to_rootsy_honesty,retain_modern_melodic_ideas_while_shiftingtoward_blues
GTR-0016,southern_rock_blues,reggae,retain_blues_hook_and_story_arc,modify_drum_pattern_and_guitar_comping,slightly_slower,add_offbeat_skank,clean_skank_guitar_and_light_keys,from_gritty_belt_to_relaxed_syncopation,from_brooding_to_laid_back,retain_blues_color_while_adapting_to_reggae_feel
GTR-0017,alt_rock,lofi_pop,maintain_hook_line_and_lyric_theme,update_drum_power_and_mix_density,slightly_slower,soften_backbeat_and_introduce_swing,soft_drums_and_muted_guitars,from_confrontational_tone_toquiet_delivery,from_high_tension_toreflective_mood,keep_alt_flavor_in_harmony_with_lofi_aesthetic
GTR-0018,lofi_pop,reggae,retain_hook_motif_and_soft_atmosphere,update_drum_groove_and_guitar_role,slightly_faster,add_offbeat_pulse_with_light_percussion,keys_and_guitar_supporting_groove,from_inward_tone_tooutward_easygoing_delivery,from_private_space_toopen_air_scene,keep_soft_mix_edges_for_warmth
GTR-0019,cumbia,lofi_pop,preserve_lead_melody_and_catchy_refrain,modify_percussion_layers_and_bass_hype,slightly_slower,soften_groove_and_introduce_looseness,subtle_lofi_kick_and_light_guitar,from_projected_lead_tosoft_sung_lines,from_group_focus_toindividual_memory,retain_simple_chant_like_phrases_in_hooks
GTR-0020,cumbia,alt_rock,retain_hook_and_rhythmic_repetition,adjust_percussion_arrangement_to_rock_groove,bpm_similar,move_to_driven_backbeat,guitars_with_clear_bass_line,from_group_focus_to_vocal_center,from_celebration_to_personal_reflection,maintain_danceable_feel_even_with_rock_weight
GTR-0021,southern_rock_blues,reggae,maintain_blues_hook_and_story_arc,update_drum_pattern_and_guitar_comping,slightly_slower,add_one_drop_feel,skank_guitar_with_supporting_keys,from_rough_projection_to_smoother_pulse,from_heavy_reflection_to_balanced_view,retain_blues_color_while_adapting_to_reggae_feel
GTR-0022,cumbia,reggae,keep_main_refrain_and_bounce_feel,update_percussion_density_and_backbeat_placement,slightly_slower,add_one_drop_or_steppers_feel,choppy_guitar_or_keys_on_offbeat,from_shouted_phrases_to_more_spacious_lines,from_high_energy_party_to_chill_gathering,keep_repetitive_structure_for_familiarity
GTR-0023,reggae,lofi_pop,preserve_hook_motif_and_chilled_center,adjust_drum_texture_and_mix_space,slightly_slower,reduce_transients_and_keep_lilt,soft_drums_keys_and_subtle_fx,from_projected_lines_to_whisper_like_delivery,from_outward_relaxation_to_inward_warmth,retain_loop_friendly_refrain_for_streaming_clips
GTR-0024,lofi_pop,southern_rock_blues,maintain_simple_hook_and_emotional_seed,adjust_drum_character_and_guitar_weight,slightly_faster,add_rock_backbeat_with_swing,crunch_guitars_and_fuller_drums,from_whispery_phrases_to_stronger_projection,from_private_reflection_to_roadhouse_confession,retain_intimate_lyric_angles_while_scaling_energy
GTR-0025,reggae,alt_rock,preserve_melodic_center_and_chorus_outline,modify_drum_intensity_and_guitar_density,slightly_faster,move_to_four_on_the_floor_backbeat,overdriven_guitars_with_supporting_leads,from_relaxed_pulse_to_edgier_delivery,from_sunlit_mood_to_urgent_drive,retain_subtle_offbeat_elements_in_background
GTR-0026,southern_rock_blues,cumbia,retain_hook_and_narrative_refrain,adjust_percussion_stack_and_bass_pattern,slightly_faster,add_clave_feel,accordion_or_keys_plus_percussion,from_raspy_belt_to_clearly_projected_voice,from_weighted_confession_to_celebratory_twist,keep_story_details_but_align_phrasing_with_dance_context
GTR-0027,alt_rock,reggae,preserve_hook_shape_and_chorus_length,modify_drum_pattern_and_guitar_comping,slightly_slower,add_skank_and_laid_back_pulse,clean_guitar_or_keys_on_offbeats,from_sharp_attack_to_smoother_phrasing,from_restless_angle_to_relaxed_view,keep_alt_progressions_while_simplifying_rhythm
GTR-0028,reggae,southern_rock_blues,retain_hook_flow_and_relaxed_motif,update_drum_feel_and_guitar_weight,slightly_faster,add_blues_swing_to_backbeat,overdriven_guitars_and_solid_snare,from_smooth_delivery_to_earthier_tone,from_coastal_scene_to_barroom_scene,retain_some_offbeat_detail_in_support_parts
GTR-0029,lofi_pop,cumbia,keep_main_melody_and_loop_structure,modify_percussion_pattern_and_bass_drive,slightly_faster,tighten_groove_for_dance_floor,congas_shakers_and_support_bass,from_soft_tone_toconfident_projection,from_internal_monologue_to_group_moment,retain_hook_simplicity_for_crowd_singalong
GTR-0030,alt_rock,southern_rock_blues,retain_main_riff_and_chorus_focus,modify_guitar_tone_and_drum_swing,slightly_slower,add_blues_swing_to_backbeat,overdriven_guitars_with_blues_phrasings,from_indie_bite_to_bluesy_drawl,from_detached_cool_to_rootsy_honesty,retain_modern_melodic_ideas_while_shiftingtoward_blues
GTR-0031,southern_rock_blues,lofi_pop,maintain_emotional_hook_and_melodic_spine,adjust_drum_and_guitar_intensity,slightly_slower,soft_backbeat_with_loose_hat,muted_guitars_and_subtle_lofi_kick,from_big_statement_to_quiet_reflection,from_public_confession_to_private_thought,retain_blues_nuance_while_supporting_loop_friendly_snippets
GTR-0032,cumbia,alt_rock,preserve_hook_and_rhythmic_repetition,reshape_percussion_arrangement_to_rock_groove,slightly_faster,add_straight_or_slight_swing_backbeat,distorted_guitars_and_simple_drums,from_party_shout_to_melodic_belt,from_celebration_to_personal_reflection,maintain_danceable_feel_even_with_rock_weight
GTR-0033,reggae,southern_rock_blues,preserve_hook_flow_and_relaxed_motif,adjust_drum_feel_and_guitar_weight,slightly_faster,move_to_swung_rock_backbeat,slide_or_crunch_guitars_with_full_kit,from_laid_back_lines_to_grittier_attack,from_easygoing_view_to_roadhouse_story,retain_some_offbeat_detail_in_support_parts
GTR-0034,cumbia,lofi_pop,maintain_lead_melody_and_catchy_refrain,update_percussion_layers_and_bass_hype,slightly_slower,reduce_percussion_and_keep_light_swing,soft_drums_and_muted_keys,from_excited_shout_to_more_relaxed_tone,from_outward_celebration_to_quiet_nostalgia,retain_simple_chant_like_phrases_in_hooks
GTR-0035,lofi_pop,alt_rock,retain_hook_and_core_emotional_theme,modify_drum_energy_and_guitar_layers,slightly_faster,add_more_defined_backbeat,driven_guitars_and_punchier_drums,from_soft_delivery_tofirm_projection,from_quiet_processing_to_controlled_intensity,keep_introspective_content_inside_alt_rock_frame
GTR-0036,southern_rock_blues,alt_rock,retain_signature_riff_and_vocal_motif,adjust_drum_feel_and_guitar_layering,bpm_similar,move_to_tight_rock_backbeat,layered_overdriven_guitars_and_steady_bass,from_blues_drawl_to_indie_projection,from_roadhouse_imagery_to_modern_alt_angle,keep_blues_influence_within_modern_alt_rock_mix
GTR-0037,lofi_pop,reggae,preserve_hook_motif_and_soft_atmosphere,modify_drum_groove_and_guitar_role,slightly_faster,introduce_skank_feel,clean_guitar_or_keys_on_offbeats,from_near_whisper_to_clearer_but_relaxed_voice,from_private_space_toopen_air_scene,keep_soft_mix_edges_for_warmth
GTR-0038,alt_rock,cumbia,retain_chorus_hook_and_melodic_center,reshape_drum_groove_and_percussion_role,slightly_faster,add_clave_and_party_forward_feel,percussion_and_guitars_sharing_rhythm,from_cool_projection_to_more_open_tone,from_introspective_text_to_community_oriented_view,retain_alt_harmonic_color_inside_cumbia_groove
GTR-0039,cumbia,reggae,keep_main_refrain_and_bounce_feel,adjust_percussion_density_and_backbeat_placement,slightly_slower,reduce_clave_emphasis_and_add_skank,offbeat_keys_or_guitar_with_light_drums,from_high_energy_delivery_to_relaxed_pulse,from_high_energy_party_to_chill_gathering,keep_repetitive_structure_for_familiarity
GTR-0040,reggae,alt_rock,maintain_melodic_center_and_chorus_outline,reshape_drum_intensity_and_guitar_density,slightly_faster,move_to_four_on_the_floor_backbeat,overdriven_guitars_with_supporting_leads,from_easygoing_lines_to_assertive_attack,from_casual_view_to_goal_oriented_angle,retain_subtle_offbeat_elements_in_background
GTR-0041,southern_rock_blues,reggae,preserve_blues_hook_and_story_arc,update_drum_pattern_and_guitar_comping,bpm_similar,add_one_drop_feel,skank_guitar_with_supporting_keys,from_rough_projection_to_smoother_pulse,from_heavy_reflection_to_balanced_view,retain_blues_color_while_adapting_to_reggae_feel
GTR-0042,lofi_pop,southern_rock_blues,keep_simple_hook_and_emotional_seed,modify_drum_character_and_guitar_weight,slightly_faster,add_swung_backbeat,crunch_guitars_and_fuller_drums,from_intimate_tone_toroom_filling_delivery,from_private_reflection_to_roadhouse_confession,retain_intimate_lyric_angles_while_scaling_energy
GTR-0043,reggae,cumbia,retain_repetitive_hook_and_bounce_memory,adjust_percussion_layout_and_bass_drive,slightly_faster,add_clave_and_extra_percussion,percussion_led_band_with_support_guitar,from_laid_back_phrasing_to_more_punctuated_delivery,from_chill_relaxation_to_full_party_mood,keep_lyrics_simple_for_chant_and_dance
GTR-0044,southern_rock_blues,alt_rock,maintain_signature_riff_and_vocal_motif,modify_drum_feel_and_guitar_layering,bpm_similar,tighten_backbeat_and_fills,stacked_guitars_with_modern_tones,from_raw_edge_to_controlled_intensity,from_traditional_frames_to_contemporary_phrasing,keep_blues_influence_within_modern_alt_rock_mix
GTR-0045,alt_rock,lofi_pop,preserve_hook_line_and_lyric_theme,adjust_drum_power_and_mix_density,slightly_slower,reduce_drum_transients_and_keep_lilt,understated_guitars_and_warm_keys,from_full_projection_to_soft_close_mic,from_outward_confrontation_to_inward_analysis,keep_alt_flavor_in_harmony_with_lofi_aesthetic
GTR-0046,reggae,southern_rock_blues,keep_hook_flow_and_relaxed_motif,modify_drum_feel_and_guitar_weight,slightly_faster,move_to_swung_rock_backbeat,crunch_guitars_and_full_kit,from_smooth_delivery_to_earthier_tone,from_coastal_scene_to_barroom_scene,retain_some_offbeat_detail_in_support_parts
GTR-0047,cumbia,southern_rock_blues,maintain_dance_hook_and_repetitive_refrain,reshape_percussion_stack_to_rock_kit,bpm_similar,add_looser_backbeat_with_fills,slide_guitar_and_supporting_organ,from_party_chant_to_story_voice,from_party_focus_to_roadhouse_story,maintain_forward_motion_in_chorus_sections
GTR-0048,lofi_pop,reggae,retain_hook_motif_and_soft_atmosphere,adjust_drum_groove_and_guitar_role,slightly_faster,add_offbeat_pulse_with_light_percussion,clean_guitar_or_keys_on_offbeats,from_inward_tone_tooutward_easygoing_delivery,from_deeply_inward_to_more_social_relaxation,keep_soft_mix_edges_for_warmth
GTR-0049,southern_rock_blues,reggae,keep_blues_hook_and_story_arc,adjust_drum_pattern_and_guitar_comping,slightly_slower,add_offbeat_skank,clean_skank_guitar_and_light_keys,from_gritty_belt_to_relaxed_syncopation,from_brooding_to_laid_back,retain_blues_color_while_adapting_to_reggae_feel
GTR-0050,alt_rock,reggae,retain_hook_shape_and_chorus_length,update_drum_pattern_and_guitar_comping,slightly_slower,add_skank_and_laid_back_pulse,clean_guitar_or_keys_on_offbeats,from_sharp_attack_to_smoother_phrasing,from_restless_angle_to_relaxed_view,keep_alt_progressions_while_simplifying_rhythm
GTR-0051,southern_rock_blues,cumbia,keep_hook_and_narrative_refrain,reshape_percussion_stack_and_bass_pattern,slightly_faster,add_forward_cumbia_groove,percussion_led_band_with_supporting_guitar,from_raspy_belt_to_clearly_projected_voice,from_weighted_confession_to_celebratory_twist,keep_story_details_but_align_phrasing_with_dance_context
GTR-0052,lofi_pop,alt_rock,keep_hook_and_core_emotional_theme,update_drum_energy_and_guitar_layers,slightly_faster,move_to_tighter_rock_backbeat,driven_guitars_and_punchier_drums,from_intimate_whisper_to_confident_belt,from_quiet_processing_to_controlled_intensity,keep_introspective_content_inside_alt_rock_frame
GTR-0053,cumbia,lofi_pop,retain_lead_melody_and_catchy_refrain,adjust_percussion_layers_and_bass_hype,slightly_slower,soften_groove_and_introduce_looseness,soft_drums_and_muted_keys,from_excited_shout_to_more_relaxed_tone,from_outward_celebration_to_quiet_nostalgia,retain_simple_chant_like_phrases_in_hooks
GTR-0054,reggae,lofi_pop,keep_hook_motif_and_chilled_center,reshape_drum_texture_and_mix_space,slightly_slower,soften_backbeat_and_keep_subtle_swing,soft_drums_keys_and_subtle_fx,from_projected_lines_to_whisper_like_delivery,from_outward_relaxation_to_inward_warmth,retain_loop_friendly_refrain_for_streaming_clips
GTR-0055,alt_rock,southern_rock_blues,keep_main_riff_and_chorus_focus,update_guitar_tone_and_drum_swing,bpm_similar,add_blues_swing_to_backbeat,overdriven_guitars_with_blues_phrasings,from_indie_bite_to_bluesy_drawl,from_detached_cool_to_rootsy_honesty,retain_modern_melodic_ideas_while_shiftingtoward_blues
GTR-0056,lofi_pop,cumbia,preserve_main_melody_and_loop_structure,update_percussion_pattern_and_bass_drive,slightly_faster,add_clave_and_forward_party_kick,percussion_plus_light_guitars_or_keys,from_soft_tone_toconfident_projection,from_private_feeling_to_shared_dance_context,retain_hook_simplicity_for_crowd_singalong
GTR-0057,alt_rock,lofi_pop,retain_hook_line_and_lyric_theme,modify_drum_power_and_mix_density,slightly_slower,soften_backbeat_and_introduce_swing,soft_drums_and_muted_guitars,from_full_projection_to_soft_close_mic,from_outward_confrontation_to_inward_analysis,keep_alt_flavor_in_harmony_with_lofi_aesthetic
GTR-0058,southern_rock_blues,lofi_pop,keep_emotional_hook_and_melodic_spine,reshape_drum_and_guitar_intensity,slightly_slower,soft_backbeat_with_swing,soft_guitars_piano_and_lofi_drums,from_stage_belt_to_close_mic_intimacy,from_big_statement_to_quiet_reflection,retain_blues_nuance_while_supporting_loop_friendly_snippets
GTR-0059,cumbia,southern_rock_blues,keep_dance_hook_and_repetitive_refrain,modify_percussion_stack_to_rock_kit,bpm_similar,move_to_swung_backbeat,slide_guitar_and_supporting_organ,from_group_shout_to_gritty_solo_belt,from_party_focus_to_roadhouse_story,maintain_forward_motion_in_chorus_sections
GTR-0060,alt_rock,cumbia,maintain_chorus_hook_and_melodic_center,adjust_drum_groove_and_percussion_role,slightly_faster,add_clave_and_party_forward_feel,guitars_with_congas_and_shakers,from_inward_delivery_tooutward_celebration,from_introspective_text_to_community_oriented_view,retain_alt_harmonic_color_inside_cumbia_groove
GTR-0061,reggae,cumbia,preserve_repetitive_hook_and_bounce_memory,reshape_percussion_layout_and_bass_drive,slightly_faster,tighten_groove_for_party_feel,percussion_led_band_with_support_guitar,from_relaxed_tone_to_energetic_projection,from_background_vibe_to_lead_anthem,keep_lyrics_simple_for_chant_and_dance
GTR-0062,southern_rock_blues,reggae,keep_blues_hook_and_story_arc,update_drum_pattern_and_guitar_comping,slightly_slower,add_offbeat_skank,clean_skank_guitar_and_light_keys,from_gritty_belt_to_relaxed_syncopation,from_brooding_to_laid_back,retain_blues_color_while_adapting_to_reggae_feel
GTR-0063,lofi_pop,southern_rock_blues,preserve_simple_hook_and_emotional_seed,update_drum_character_and_guitar_weight,slightly_faster,add_rock_backbeat_with_swing,crunch_guitars_and_fuller_drums,from_whispery_phrases_to_stronger_projection,from_bedroom_scene_to_barroom_scene,retain_intimate_lyric_angles_while_scaling_energy
GTR-0064,reggae,southern_rock_blues,maintain_hook_flow_and_relaxed_motif,reshape_drum_feel_and_guitar_weight,slightly_faster,add_blues_swing_to_backbeat,overdriven_guitars_and_solid_snare,from_laid_back_lines_to_grittier_attack,from_easygoing_view_to_roadhouse_story,retain_some_offbeat_detail_in_support_parts
GTR-0065,cumbia,lofi_pop,keep_lead_melody_and_catchy_refrain,reshape_percussion_layers_and_bass_hype,slightly_slower,reduce_percussion_and_keep_light_swing,soft_drums_and_muted_keys,from_excited_shout_to_more_relaxed_tone,from_outward_celebration_to_quiet_nostalgia,retain_simple_chant_like_phrases_in_hooks
GTR-0066,southern_rock_blues,alt_rock,keep_signature_riff_and_vocal_motif,update_drum_feel_and_guitar_layering,bpm_similar,move_to_tight_rock_backbeat,layered_overdriven_guitars_and_steady_bass,from_blues_drawl_to_indie_projection,from_roadhouse_imagery_to_modern_alt_angle,keep_blues_influence_within_modern_alt_rock_mix
GTR-0067,reggae,alt_rock,keep_melodic_center_and_chorus_outline,update_drum_intensity_and_guitar_density,slightly_faster,move_to_four_on_the_floor_backbeat,driven_guitars_and_focused_bass,from_relaxed_pulse_to_edgier_delivery,from_casual_view_to_goal_oriented_angle,retain_subtle_offbeat_elements_in_background
GTR-0068,lofi_pop,reggae,keep_hook_motif_and_soft_atmosphere,reshape_drum_groove_and_guitar_role,bpm_similar,introduce_skank_feel,keys_and_guitar_supporting_groove,from_near_whisper_to_clearer_but_relaxed_voice,from_private_space_toopen_air_scene,keep_soft_mix_edges_for_warmth
GTR-0069,alt_rock,lofi_pop,keep_hook_line_and_lyric_theme,reshape_drum_power_and_mix_density,slightly_slower,soften_backbeat_and_introduce_swing,understated_guitars_and_warm_keys,from_full_projection_to_soft_close_mic,from_confrontational_tone_toquiet_delivery,keep_alt_flavor_in_harmony_with_lofi_aesthetic
GTR-0070,cumbia,reggae,preserve_main_refrain_and_bounce_feel,modify_percussion_density_and_backbeat_placement,slightly_slower,add_one_drop_or_steppers_feel,offbeat_keys_or_guitar_with_light_drums,from_shouted_phrases_to_more_spacious_lines,from_high_energy_party_to_chill_gathering,keep_repetitive_structure_for_familiarity
GTR-0071,reggae,lofi_pop,maintain_hook_motif_and_chilled_center,update_drum_texture_and_mix_space,slightly_slower,soften_backbeat_and_keep_subtle_swing,muted_kicks_snares_and_ambient_keys,from_projected_lines_to_whisper_like_delivery,from_outward_relaxation_to_inward_warmth,retain_loop_friendly_refrain_for_streaming_clips
GTR-0072,cumbia,southern_rock_blues,preserve_dance_hook_and_repetitive_refrain,adjust_percussion_stack_to_rock_kit,bpm_similar,add_looser_backbeat_with_fills,crunch_guitars_and_full_drums,from_group_shout_to_gritty_solo_belt,from_group_narrative_to_personal_account,maintain_forward_motion_in_chorus_sections
GTR-0073,southern_rock_blues,cumbia,maintain_hook_and_narrative_refrain,update_percussion_stack_and_bass_pattern,slightly_faster,add_clave_feel,percussion_led_band_with_supporting_guitar,from_raspy_belt_to_clearly_projected_voice,from_weighted_confession_to_celebratory_twist,keep_story_details_but_align_phrasing_with_dance_context
GTR-0074,lofi_pop,alt_rock,maintain_hook_and_core_emotional_theme,adjust_drum_energy_and_guitar_layers,bpm_similar,add_more_defined_backbeat,overdriven_or_chorus_guitars_with_snare_focus,from_soft_delivery_tofirm_projection,from_quiet_processing_to_controlled_intensity,keep_introspective_content_inside_alt_rock_frame
GTR-0075,alt_rock,southern_rock_blues,maintain_main_riff_and_chorus_focus,reshape_guitar_tone_and_drum_swing,slightly_slower,loosen_backbeat_and_add_fills,slide_guitar_and_supporting_organ,from_cool_delivery_toearthier_expression,from_modern_frames_toclassic_barroom_angle,retain_modern_melodic_ideas_while_shiftingtoward_blues
GTR-0076,reggae,cumbia,maintain_repetitive_hook_and_bounce_memory,reshape_percussion_layout_and_bass_drive,slightly_faster,add_clave_and_extra_percussion,shakers_congas_and_bass,from_relaxed_tone_to_energetic_projection,from_background_vibe_to_lead_anthem,keep_lyrics_simple_for_chant_and_dance
GTR-0077,southern_rock_blues,reggae,maintain_blues_hook_and_story_arc,reshape_drum_pattern_and_guitar_comping,slightly_slower,add_offbeat_skank,clean_skank_guitar_and_light_keys,from_gritty_belt_to_relaxed_syncopation,from_brooding_to_laid_back,retain_blues_color_while_adapting_to_reggae_feel
GTR-0078,cumbia,lofi_pop,keep_lead_melody_and_catchy_refrain,update_percussion_layers_and_bass_hype,slightly_slower,soften_groove_and_introduce_looseness,subtle_lofi_kick_and_light_guitar,from_excited_shout_to_more_relaxed_tone,from_group_focus_toindividual_memory,retain_simple_chant_like_phrases_in_hooks
GTR-0079,reggae,southern_rock_blues,keep_hook_flow_and_relaxed_motif,update_drum_feel_and_guitar_weight,slightly_faster,add_blues_swing_to_backbeat,slide_or_crunch_guitars_with_full_kit,from_smooth_delivery_to_earthier_tone,from_coastal_scene_to_barroom_scene,retain_some_offbeat_detail_in_support_parts
GTR-0080,alt_rock,cumbia,keep_chorus_hook_and_melodic_center,update_drum_groove_and_percussion_role,slightly_faster,add_clave_and_party_forward_feel,percussion_and_guitars_sharing_rhythm,from_cool_projection_to_more_open_tone,from_personal_frame_to_group_frame,retain_alt_harmonic_color_inside_cumbia_groove
GTR-0081,lofi_pop,reggae,keep_hook_motif_and_soft_atmosphere,update_drum_groove_and_guitar_role,slightly_faster,add_offbeat_pulse_with_light_percussion,clean_guitar_or_keys_on_offbeats,from_near_whisper_to_clearer_but_relaxed_voice,from_deeply_inward_to_more_social_relaxation,keep_soft_mix_edges_for_warmth
GTR-0082,southern_rock_blues,alt_rock,keep_signature_riff_and_vocal_motif,reshape_drum_feel_and_guitar_layering,bpm_similar,tighten_backbeat_and_fills,stacked_guitars_with_modern_tones,from_raw_edge_to_controlled_intensity,from_traditional_frames_to_contemporary_phrasing,keep_blues_influence_within_modern_alt_rock_mix
GTR-0083,cumbia,reggae,keep_main_refrain_and_bounce_feel,modify_percussion_density_and_backbeat_placement,slightly_slower,reduce_clave_emphasis_and_add_skank,choppy_guitar_or_keys_on_offbeat,from_high_energy_party_to_chill_gathering,from_constant_excitement_tosteady_warmth,keep_repetitive_structure_for_familiarity
GTR-0084,southern_rock_blues,lofi_pop,keep_emotional_hook_and_melodic_spine,update_drum_and_guitar_intensity,slightly_slower,soft_backbeat_with_loose_hat,soft_guitars_piano_and_lofi_drums,from_stage_belt_to_close_mic_intimacy,from_public_confession_to_private_thought,retain_blues_nuance_while_supporting_loop_friendly_snippets
GTR-0085,alt_rock,lofi_pop,keep_hook_line_and_lyric_theme,update_drum_power_and_mix_density,slightly_slower,soften_backbeat_and_introduce_swing,soft_drums_and_muted_guitars,from_confrontational_tone_toquiet_delivery,from_high_tension_toreflective_mood,keep_alt_flavor_in_harmony_with_lofi_aesthetic
GTR-0086,reggae,alt_rock,keep_melodic_center_and_chorus_outline,adjust_drum_intensity_and_guitar_density,slightly_faster,move_to_four_on_the_floor_backbeat,overdriven_guitars_with_supporting_leads,from_relaxed_pulse_to_edgier_delivery,from_casual_view_to_goal_oriented_angle,retain_subtle_offbeat_elements_in_background
GTR-0087,cumbia,southern_rock_blues,keep_dance_hook_and_repetitive_refrain,adjust_percussion_stack_to_rock_kit,bpm_similar,move_to_swung_backbeat,slide_guitar_and_supporting_organ,from_group_shout_to_gritty_solo_belt,from_party_focus_to_roadhouse_story,maintain_forward_motion_in_chorus_sections
GTR-0088,lofi_pop,southern_rock_blues,keep_simple_hook_and_emotional_seed,reshape_drum_character_and_guitar_weight,slightly_faster,add_rock_backbeat_with_swing,crunch_guitars_and_fuller_drums,from_intimate_tone_toroom_filling_delivery,from_bedroom_scene_to_barroom_scene,retain_intimate_lyric_angles_while_scaling_energy
GTR-0089,southern_rock_blues,reggae,preserve_blues_hook_and_story_arc,adjust_drum_pattern_and_guitar_comping,slightly_slower,add_offbeat_skank,clean_skank_guitar_and_light_keys,from_gritty_belt_to_relaxed_syncopation,from_brooding_to_laid_back,retain_blues_color_while_adapting_to_reggae_feel
